"";"classe 1";"classe 2";"classe 3";"classe 4"
"policial";2,081;-19,819;78,586;-25,647
"manipulação";-54,134;40,341;35,76;-15,828
"pensar";71,223;-9,61;-4,507;-16,343
"nota";-12,015;78,028;-11,169;-5,124
"minuta";18,559;-13,918;31,293;-35,239
"buscar";-3,363;15,851;-0,974;-1,436
"responsabilidade";1,269;-6,118;0,013;1,466
"requisito";0,02;-25,492;-22,662;87,595
"posição";-15,999;1,163;-6,893;31,61
"news";-34,617;64,2;8,6;-20,33
"magistrado";131,668;-27,832;-2,952;-29,936
"hora";-33,12;33,458;4,084;-2,346
"deferir";98,38;-16,181;-10,745;-13,321
"atividade";17,925;-1,456;-18,013;0,258
"resposta";3,172;-2,884;4,296;-4,309
"participar";-13,684;0,241;74,628;-18,945
"lugar";-6,027;21,736;0,101;-5,809
"avaliar";-5,181;0,613;-5,457;14,379
"apto";0,48;-4,805;-26,348;38,069
"apresentado";10,77;0,703;-0,516;-14,193
"transcrever";3,207;2,445;-4,965;-2,31
"relatoria";11,982;-31,738;-22,662;40,435
"iii";-0,011;0,68;-0,189;-0,115
"formação";47,094;-21,391;-22,435;2,599
"conexão";180,578;-23,197;-24,972;-25,894
"acusação";15,645;-2,423;0,675;-11,843
"penal";53,102;-29,654;-12,802;0,882
"crítica";-33,568;94,417;-17,795;0,023
"comissão";-31,469;-25,261;339,278;-30,461
"prestação";59,399;-16,296;-18,74;-0,078
"precisar";-7,007;-5,983;51,667;-1,345
"justificar";50,856;-7,975;-20,172;-0,564
"entrevista";-44,956;104,139;1,016;-16,945
"anderson";-34,617;-37,614;431,02;-38,65
"vontade";-26,67;-2,86;0,997;41,346
"sequer";12,92;-0,324;0,93;-17,583
"objetivo";45,426;-3,806;-23,887;-0,743
"repetir";-6,787;-6,628;154,063;-33,963
"relatar";-0,004;-6,696;13,664;-0,404
"audiência";-5,121;25,688;15,854;-40,583
"apoiador";-19,074;79,136;-4,761;-5,788
"visar";-0,03;0,175;-15,931;11,495
"sustentar";4,647;8,034;-1,117;-18,371
"ordem";2,517;0,948;-4,405;-0,656
"maria";1,651;-12,557;8,751;-0,202
"indeferimento";217,016;-40,922;-23,583;-24,979
"grau";-24,823;-20,612;-11,973;174,619
"instrutor";-3,377;2,74;6,529;-4,123
"fundamental";-1,555;-9,085;-24,274;79,753
"especialmente";-0,682;36,74;-13,428;-3,961
"fase";132,275;-19,095;-15,625;-19,323
"conduzir";20,932;-5,229;-0,752;-3,341
"ministério_público_eleitoral";1,68;-17,621;0,27;5,901
"luz";23,925;-33,737;-26,129;28,159
"filho";-7,694;-12,814;1,549;30,812
"autoria";102,154;-34,881;-3,953;-9,577
"alvorada";-46,788;222,841;-17,953;-16,348
"tomar";-15,692;9,991;11,186;-3,961
"solução";39,994;-9,875;0,031;-14,407
"estrutura";-19,074;32,184;0,112;-1,927
"banho";0,763;-22,405;-7,688;41,394
"apresentação";-0,589;14,838;-0,014;-9,087
"invasão";-0,117;1,013;10,854;-13,401
"folha";7,156;-3,515;-1,524;0,021
"fake";-31,198;52,433;8,751;-16,515
"envio";-0,294;-5,794;32,836;-4,651
"demonstração";52,193;-9,898;-18,2;-0,528
"realidade";7,464;2,611;-7,075;-4,848
"prefeito";-39,769;-9,997;0,17;94,318
"ordinário";-15,58;-34,44;-24,274;218,732
"especificamente";0,148;7,669;-7,749;-0,528
"doação";4,819;-9,427;-5,877;8,856
"sede";11,653;-14,769;-0,128;0,32
"jurisdicional";107,787;-33,339;-26,696;-0,404
"imputação";10,214;-0,608;-8,044;-0,007
"comprometer";-13,487;-0,065;-18,607;66,789
"citar";-5,186;-3,021;-4,214;37,489
"canal";-42,989;231,017;-17,522;-21,865
"beneficiar";-17,816;-0,386;-9,64;64,69
"benedito";8,566;-5,534;-0,009;-0,457
"atuar";-11,094;59,797;-9,256;-2,414
"reiterar";1,968;7,845;-3,558;-7,182
"espaço";-18,95;59,579;-8,782;-0,252
"discutir";6,28;-1,415;-0,155;-1,299
"cópia";-8,589;-23,999;217,791;-27,287
"caracterização";-34,964;-32,437;-24,504;281,096
"principal";-5,331;45,062;-10,745;-1,963
"plenário";108,939;-31,044;-6,398;-10,915
"marketing";10,43;-0,009;-3,658;-2,782
"igualmente";4,985;-2,383;-13,059;6,006
"cerceamento";180,771;-41,279;-28,552;-9,799
"apoio";-34,909;104,664;-3,499;-5,699
"tecnologia";-21,211;9,707;31,852;-11,137
"ferramenta";-25,881;85,854;-23,221;0,156
"consequência";7,699;-21,873;-10,027;21,823
"autorizar";59,043;-5,287;-20,468;-3,458
"respectivo";8,526;-13,8;-0,04;0,683
"programa";-40,844;58,691;13,232;-17,972
"devidamente";45,211;-2,097;-4,426;-15,164
"cenário";0;18,217;-11,568;-1,707
"sérgio";2,832;-18,197;0,053;5,486
"parlamentar";-31,537;3,192;45,129;-3,44
"papel";-7,456;3,277;23,32;-10,826
"obter";-11,19;-2,6;-0,004;28,564
"conceder";3,606;6,812;-2,362;-11,158
"am4";0,973;1,793;-1,371;-1,902
"servir";2,593;1,682;-4,067;-1,544
"reportagem";-0,318;9,867;0,003;-7,067
"oitiva";56,591;-37,537;16,654;-31,226
"hoje";-17,44;5,663;47,641;-17,583
"gonçalves";10,052;-6,868;-2,676;0,546
"definir";4,839;-8,329;-1,377;2,701
"criar";-29,787;115,983;-0,364;-20,999
"pt";-11,214;8,772;8,15;-4,019
"executivo";-20,782;25,792;13,232;-12,793
"conceito";-19,331;-17,035;-10,417;142,653
"regimental";6,586;-37,357;-26;66,086
"litispendência";138,174;-39,32;-25,537;-2,954
"exercer";-0,589;-0,869;-10,027;21,823
"decreto";18,446;-9,398;4,208;-11,428
"anterior";0,445;0,864;1,347;-7,477
"publicar";-3,61;24,665;-11,861;0,01
"potencial";-9,703;0,533;-16,485;40,015
"og";39,063;-18,61;-10,799;0,406
"mg";-26,724;-37,357;-23,584;265,74
"igualdade";-39,189;-11,537;-21,745;210,893
"fixar";55,378;-18,632;-20,827;0,26
"citado";1,92;4,741;-7,958;-1,37
"veiculação";-12,713;43,884;-17,296;0,731
"providência";34,124;-6,617;0,104;-15,936
"privado";-11,669;0,311;-6,476;29,706
"passado";-18,58;18,427;31,911;-23,72
"compor";58,238;-4,734;-13,795;-7,11
"beneficiário";-7,434;-10,985;-23,584;116,204
"técnica";0,432;3,754;8,343;-28,411
"reforçar";-3,314;20,222;-19,559;1,918
"pretender";30,907;-0,789;-7,68;-6,749
"emissor";-39,189;105,206;-15,535;-0,022
"discussão";8,545;-2,232;-0,794;-0,684
"critério";-10,452;-16,295;-10,366;111,957
"tão";8,686;-0,063;-0,141;-6,749
"maneira";-3,447;10,316;0,599;-3,945
"ler";-6,53;-0,333;68,51;-17,376
"fux";-12,132;-35,837;-21,975;201,339
"evidente";-5,841;27,424;-8,121;-0,025
"equilíbrio";-27,574;-13,032;-24,047;192,246
"empresário";3,604;1,743;-2,948;-3,431
"alegar";5,167;0,287;-5,253;-0,865
"propósito";-16,472;13,892;-12,717;14,62
"nunes";-8,064;-28,112;21,613;18,417
"inverídico";-29,114;110,455;-17,853;-1,181
"fernando";-22,451;72,038;-10,799;-0,336
"xiv";-31,537;-30,231;-17,266;240,801
"item";36,924;-1,163;-2,772;-15,765
"haddad";-32,511;118,061;-4,254;-9,537
"ensejar";2,481;-24,472;-13,147;44,465
"econômico";-24,585;-1,169;-18,996;109,333
"diálogo";-18,803;125,501;-15,931;-9,988
"dano";-0,162;-1,813;-12,149;24,903
"administrativo";-24,61;-7,092;8,751;29,413
"parâmetro";3,419;-15,251;-15,488;31,178
"narrado";78,967;-23,32;-15,709;-1,162
"imediato";32,004;-5,969;-5,08;-2,494
"falta";14,64;-14,769;-5,406;3,644
"diferente";1,496;1,373;2,208;-15,073
"ações_de_investigação_judicial_eleitoral";68,191;-25,698;-18,539;0,026
"tarcisio_vieira_de_carvalho_neto";24,014;-18,897;-7,291;2,567
"seguro";4,635;-6,547;-12,191;12,027
"restar";-0,197;-1,942;-0,314;5,863
"posto";47,315;-11,405;-9,735;-1,339
"jornal";-15,061;11,348;-0,064;0,966
"evidência";-0,277;2,506;-8,798;2,707
"corroborar";26,229;-3,821;0,275;-16,225
"preciso";-7,116;6,02;-0,007;0,206
"instância";12,66;-19,016;0,031;0,208
"inserir";-0,635;62,431;-15,931;-13,047
"gustavo";-13,631;-18,547;196,482;-18,763
"dirigir";-16,281;72,844;-1,392;-10,943
"transmitir";-46,251;148,756;-2,956;-12,775
"tampouco";4,9;-0,002;-4,914;-0,113
"multa";-2,974;-0,924;-19,291;46,993
"motivo";43,124;-7,568;-6,997;-3,588
"entanto";5,069;0,12;-0,704;-4,141
"dispor";1,897;-4,813;-5,77;8,663
"decidir";22,953;-7,809;-4,76;-0,118
"controlo";14,295;-2,999;-13,723;1,096
"arts";7,664;-31,936;-24,147;52,834
"marques";17,42;-17,146;-2,305;1,217
"constante";23,492;6,37;-11,169;-23,112
"barroso";-44,056;-31,308;350,552;-16,778
"unido";-13,178;68,159;-0,061;-18,577
"narrar";14,682;-4,113;-2,428;-0,432
"luciano_hang";16,595;-2,297;-0,861;-4,08
"fornecer";-6,253;-0,288;39,128;-5,899
"fiscal";83,674;-6,804;-12,149;-16,608
"exposição";-21,766;34,447;-15,488;6,863
"conseguir";-14,374;-5,609;172,694;-29,331
"alto";-20,652;8,061;-7,565;20,429
"alteração";-1,87;-0,844;0,011;5,436
"técnico";-23,314;7,506;74,206;-29,303
"ribeiro";-5,482;-2,015;-0,469;21,346
"requisição";24,714;-12,068;5,044;-14,996
"quase";-13,178;28,22;14,737;-25,073
"publicação";-2,701;18,146;-20,814;2,444
"proteger";-11,252;-11,691;-13,363;109,74
"presença";-2,215;19,418;-2,321;-2,315
"negar";2,585;-4,606;0,021;0,106
"josé";-11,404;-0,167;2,56;6,905
"isonomia";-14,996;-0,166;-24,61;83,431
"iniciativa";31,424;-3,267;-0,114;-15,36
"inequívoco";-19,05;-1,287;-6,835;68,548
"dito";-14,197;15,778;10,222;-8,402
"continuar";-18,257;-3,738;47,651;0,114
"bancário";117,905;-14,663;-14,834;-18,885
"prerrogativa";-5,284;-0,268;-15,266;43,316
"esclarecimento";8,943;-4,6;17,467;-23,495
"campo";0,515;4,666;-0,697;-4,999
"união";-0,007;5,136;-4,426;-0,102
"trabalhar";-28,85;0,214;103,062;-15,107
"risco";-3,674;41,531;-2,321;-9,911
"logo";12,085;-2,412;-1,305;-1,295
"influenciar";-19,449;-1,41;-19,453;100,351
"incluir";-3,323;22,038;-9,113;-0,009
"fator";0,01;-0,721;-19,911;23,255
"ódio";-47,29;103,741;3,028;-20,942
"xvi";-36,745;-22,304;-21,506;244,75
"rosa";-0,954;-13,716;3,298;10,291
"indireto";-4,436;-7,3;-19,201;81,833
"imputado";-0,174;-30,873;-21,045;106,72
"atribuir";4,033;0,146;-3,349;-0,819
"assumir";-12,943;11,745;-3,393;4,254
"julgador";66,458;-33,973;-19,661;1,376
"expressão";-11,669;0,311;-14,603;43,722
"data";2,169;4,992;-7,187;-2,105
"compartilhamento";14,622;23,019;-16,17;-29,303
"postagem";-8,492;67,619;-5,148;-10,322
"instantâneo";-8,972;-0,439;-10,538;47,393
"celeridade";182,39;-28,408;-16,62;-29,944
"causar";-3,835;-4,051;-15,945;61,228
"rj";-34,26;-18,678;-17,59;213,254
"questionar";0,754;-0,339;9,37;-9,801
"passo";26,233;-4,253;-4,911;-2,026
"organização";-10,31;79,084;-1,85;-19,408
"obstante";18,707;-5,609;-5,991;-0,001
"ementa";-0,252;-13,417;-22,99;75,136
"começar";-43,133;-10,07;303,572;-29,973
"coletivo";-9,097;23,393;-6,244;0,34
"ambiente";-20,036;30,431;-1,738;0,156
"algo";-21,602;0,006;111,53;-21,607
"vincular";0,777;1,927;-7,498;0,012
"supostamente";-2,962;2,918;-3,108;2,953
"proteção";-8,304;-4,253;-20,583;87,838
"potencialidade";-35,836;-36,111;-23,453;291,382
"missão";-37,472;105,424;0,877;-22,55
"influência";-14,572;-2,097;-9,929;72,178
"referir";-3,259;0,867;9,79;-3,403
"próximo";0,023;23,092;-4,088;-10,6
"proferir";10,621;0,081;-1,305;-7,779
"problema";-26,903;0,813;118,429;-27,062
"peça";62,956;-0,678;-11,974;-21,293
"outubro";-7,963;3,434;21,287;-9,238
"exterior";-35,647;0,286;122,64;-17,222
"consistir";9,84;-0,597;-4,761;-0,39
"compreender";-0,028;2,172;-17,169;5,957
"época";-21,178;0,02;86,691;-13,142
"rejeição";38,853;-22,235;-0,269;-2,105
"referência";-7,104;2,212;0,202;0,914
"raul";5,649;-4,798;0,471;-0,912
"origem";0,237;-17,281;-4,254;31,535
"emprego";-16,269;-4,649;-14,44;100,955
"comum";28,94;-1,225;-3,108;-9,588
"complementar";70,399;-15,648;-11,974;-3,588
"caput";0,336;-23,1;-20,583;71,123
"bastar";0,403;-6,04;-4,59;14,318
"bahia";0,015;-28,044;127,853;-24,907
"aptar";0,633;-7,553;-16,17;31,553
"alves";-0,049;-4,928;0,922;2,708
"sufrágio";-18,518;-3,853;-20,122;115,909
"solicitar";1,062;-13,089;66,962;-23,545
"regional";-0,695;-11,919;-0,031;21,228
"petição";74,46;-13,175;-1,437;-20,665
"inúmero";0,325;8,747;-1,418;-6,608
"enfrentar";3,858;1,466;-0,051;-10,043
"educação";-34,719;-2,824;118,625;-3,222
"documentação";0,908;-0,95;27,27;-22,907
"câmara";-31,508;-9,228;239,849;-23,885
"captação";-11,159;-16,296;-18,74;137,06
"adequado";37,786;-7,3;-6,353;-2,568
"síntese";24,362;-4,182;-15,047;0,075
"parágrafo";7,185;-11,52;-15,293;17,092
"mentira";-35,754;59,07;9,379;-17,538
"litisconsórcio";92,127;-29,703;-19,291;-0,677
"interlocutório";169,882;-29,531;-14,152;-26,422
"firmar";20,959;-14,327;-11,706;4,127
"envolvido";1,57;-2,824;-3,057;3,827
"bastante";-3,259;0,867;5,333;-1,207
"inexistência";20,96;-16,62;-7,909;3,156
"garantir";-0,962;0,092;-0,292;1,55
"referente";12,305;-2,057;-7,497;0,025
"procedência";6,358;-22,58;-18,74;36,98
"lives";-33,422;98,062;0,693;-21,607
"inibitório";7,776;1,014;-12,147;-0,786
"inexistir";67,501;-10,119;-6,155;-11,501
"importar";1,718;2,497;-6,092;-0,636
"estabilização";158,269;-32,193;-16,258;-17,276
"denúncia";-11,395;0,001;47,007;-6,835
"cármen";0,162;-1,983;0,721;0,055
"confirmar";-7,118;1,068;23,89;-6,835
"atual";0,754;14,099;-3,349;-9,801
"agir";-9,039;12,348;0,005;-0,168
"twitter";-9,291;47,511;-2,694;-5,168
"tutelado";-8,991;-33,261;-21,602;179,626
"total";-10,011;8,697;18,161;-12,058
"referendar";101,409;-13,355;-13,082;-15,08
"pretensão";78,491;-15,003;-8,108;-9,274
"preservar";0,753;-8,361;-18,97;35,88
"observação";-0,225;14,933;-0,015;-11,158
"fundamentação";113,232;-18,004;-17,13;-11,721
"distribuição";-0,656;0,993;-16,211;12,39
"desdobramento";137,442;-18,943;-14,823;-22,55
"decorrer";10,75;-0,692;-15,121;0,698
"suscitado";87,654;-19,826;-10,676;-6,835
"supremo";-9,039;-15,648;67,633;-0,027
"reconhecimento";1,754;-19,693;-5,633;27,854
"realmente";-10,912;-9,589;127,268;-12,287
"esclarecer";31,988;-14,002;2,371;-13,669
"convicção";70,282;-12,675;-16,485;-3,051
"comunidade";-36,095;157,218;-4,581;-19,381
"cibernético";3,957;-3,776;25,012;-22,236
"atenção";-5,395;14,099;2,047;-6,948
"reprovabilidade";-31,305;-27,337;-16,485;228,975
"proceder";11,404;-6,328;-3,431;0,364
"pertinência";111,762;-26,279;-9,957;-11,135
"mendes";-0,759;-26,505;-14,834;94,763
"lembrar";-6,502;-5,34;37,42;-0,184
"grifo";0,038;-15,398;-7,915;40,653
"face";-0,525;0,646;-5,216;4,16
"contrato";1,735;-2,006;0,76;-0,592
"afetar";-15,352;-0,117;-4,417;42,435
"vice_procurador_geral_eleitoral";3,238;-4,224;0,033;0
"razoável";95,219;-8,952;-16,03;-14,996
"evitar";9,463;-5,783;-1,726;0,106
"estadual";-19,546;-0,161;-1,768;41,208
"diplomático";-32,886;169,081;-10,676;-17,222
"chamado";-6,81;23,695;4,582;-16,915
"vida";-20,322;5,566;3,451;0,607
"secretaria";-19,471;-6,545;158,294;-16,302
"residência";-17,823;7,244;38,327;-14,564
"orientação";10,75;-16,29;-11,107;13,091
"obrigar";0,057;-5,794;44,447;-14,863
"leitura";-0,297;0,286;0,904;-0,677
"jornalista";-1,102;1,564;2,892;-2,863
"ilegitimidade";125,443;-21,064;-16,211;-14,265
"embargo";72,979;-22,089;-16,061;-0,636
"determinação";63,261;-2,556;-12,149;-14,564
"compra";0;-1,8;-5,069;11,802
"augusto";-21,959;-14,331;124,879;-1,442
"atingir";-8,386;31,692;-11,54;0,208
"anúncio";-9,267;77,57;-10,383;-7,861
"abertura";1,046;-0,901;-0,14;0,042
"televisão";-27,697;68,312;-10,676;0,04
"prévio";18,175;-1,566;-1,491;-4,973
"professor";-3,744;-0,978;41,777;-7,661
"polo";87,654;-22,109;-12,592;-4,42
"mulher";-2,271;60,886;-5,965;-17,227
"enviar";0,25;0,71;4,262;-10,799
"contato";-19,135;4,603;45,106;-12,732
"carvalho";-7,381;-9,886;52,191;-0,16
"araújo";6,15;-3,261;0,155;-1,431
"ônus";150,084;-21,412;-18,83;-21,099
"submeter";49,218;-2,824;-17,82;-4,182
"rio";-3,89;5,25;10,032;-9,576
"presunção";35,413;-27,402;-19,522;8,627
"omissão";74,904;-17,667;-14,667;-2,53
"ofensa";-0,027;-11,326;-18,83;57,464
"lúcia";0,003;-0,904;0,023;0,609
"independentemente";15,48;-13,672;-11,955;7,145
"incidência";-0,084;-11,166;-19,984;61,036
"horário";-22,465;77,391;-1,437;-7,814
"expressar";-4,558;0,124;-4,421;14,966
"defender";-0,008;0,055;0,708;-0,829
"intuito";-1,618;1,708;-9,511;8,097
"google";-0,336;25,073;-5,753;-5,415
"dj";-1,176;-22,457;-17,13;96,175
"difusão";-31,512;135,983;-11,927;-7,478
"conhecido";6,21;7,755;-17,59;-3,044
"compartilhar";-0,2;33,934;-5,776;-10,929
"ciência";2,937;-6,041;0,005;0,357
"vivo";-35,187;124,082;-2,362;-12,945
"sugerir";-13,736;0,116;65,288;-13,562
"nulidade";87,072;-27,216;-13,082;-2,185
"impacto";-4,258;0,49;-9,391;18,572
"horbach";1,404;-9,204;-0,032;3,961
"disseminação";-26,458;113,698;-2,489;-15,421
"certeza";-0,354;-5,783;55,34;-13,372
"assunto";-22,771;0,072;89,803;-13,865
"resolução";36,527;-16,996;-10,246;0,345
"pergunta";-15,653;0,063;74,97;-14,794
"ouvir";-0,011;-2,652;51,084;-22,269
"máximo";12,457;-11,436;-2,529;1,186
"integridade";-15,197;102,726;-10,891;-10,043
"indicado";9,726;-0,11;0,373;-12,959
"gasto";0;-4,017;-5,462;17,436
"frente";-14,264;0,195;55,34;-9,77
"denominar";0;47,26;-16,67;-11,158
"cumprimento";23,267;-7,015;0,024;-7,052
"correlação";63,539;-13,678;-4,793;-8,181
"absolutamente";-1,952;5,897;5,806;-10,046
"soberania";-19,917;-1,719;-13,082;89,858
"reafirmar";1,634;0,395;-2,721;-0,282
"mauro";7,489;-6,729;-1,215;0,485
"junto";-2,557;-0,23;40,907;-12,918
"instrumento";-7,222;14,755;-8,124;2,457
"instituto";11,681;2,044;-10,246;-5,117
"futuro";-4,298;17,688;-0,126;-3,042
"encaminhar";-2,409;-14,332;131,18;-23,565
"disposto";6,994;-3,032;-3,924;0,519
"violar";1,349;-0,474;-0,776;0,061
"título";-1,102;5,396;0,942;-4,531
"mouro";8,541;-7,507;-1,058;0,333
"minuto";-26,552;43,157;9,71;-15,902
"investigante";1,094;18,319;-16,753;-3,249
"fé";26,723;-2,039;-4,97;-4,469
"escolha";-2,409;22,216;-8,544;-0,243
"dimensão";-25,901;21,587;-11,706;14,955
"decadência";137,73;-22,756;-18,137;-15,69
"confiança";-26,798;22,189;25,527;-14,564
"chamar";-14,948;9,183;39,239;-21,312
"teoria";13,042;-0,215;-9,818;-0,349
"especializar";20,023;-5,31;-13,987;0,835
"encontro";-24,557;108,304;-3,441;-13,076
"encerrar";26,197;-5,046;-1,378;-4,75
"ed";-0,176;-14,724;-11,28;55,501
"diretor";-0,33;-0,45;13,012;-3,888
"depender";0,392;-0,859;-7,083;7,26
"significativo";-13,244;-0,215;-9,818;52,94
"responder";-9,061;-5,035;85,696;-8,158
"melhor";3,77;0,063;1,169;-11,214
"gilmar";-1,107;-23,666;-13,002;88,662
"contorno";9,142;-0,978;-17,445;2,359
"município";-17,771;-0,039;2,904;10,404
"lide";131,176;-24,213;-12,856;-16,916
"intervenção";-1,176;-10,119;-3,6;38,048
"inerente";2,585;-0,727;-15,522;7,378
"imputar";-0,89;0,004;-10,824;15,658
"vitória";-30,589;18,319;49,902;-23,245
"temporal";52,395;-5,288;-4,443;-12,78
"suspeita";-5,815;1,422;27,39;-11,362
"quadro";31,556;-2,116;-4,27;-7,404
"pec";-31,967;-3,152;183,793;-19,201
"notar";0,502;1,91;-0,992;-1,641
"jamais";-12,539;0,317;47,272;-8,96
"investigantes";24,273;0,238;-7,706;-11,02
"disponível";-14,407;60,098;-0,511;-10,16
"delimitar";50,623;-6,034;-13,534;-3,423
"decorrente";2,874;-6,827;-9,179;12,958
"contido";14,009;-2,68;-4,486;-0,205
"administração";-27,512;-4,606;-1,726;82,614
"acolher";47,222;-15,992;0,144;-13,669
"acabar";-12,539;1,239;47,272;-12,658
"vedado";-13,223;-11,713;-10,607;108,617
"relevância";3,432;0,195;-4,793;-0,221
"propor";26,197;-0,16;-4,27;-10,645
"pesquisa";-26,03;146,731;-7,498;-19,4
"perito";-30,23;-6,651;210,208;-21,007
"particular";-0,59;-0,281;-4,617;11,106
"novamente";21,794;-0,11;-0,385;-17,308
"integrar";4,193;0,095;-0,972;-2,692
"indicação";21,238;-9,867;-5,316;0,104
"ilegal";4,852;-0,66;-2,328;-0,028
"consistente";0,389;2,847;-11,955;0,546
"consignar";21,794;-0,77;-11,505;-1,161
"trâmite";70,249;-23,151;-0,03;-15,984
"salientar";14,656;0;-1,161;-10,079
"sabidamente";-13,867;82,9;-17,676;-2,185
"resultar";1,123;-2,298;-7,085;8,001
"regular";0,628;1,876;-10,824;0,532
"modelo";-1,344;29,775;-5,031;-5,295
"incompetência";80,625;-14,051;-15,37;-5,414
"identidade";15,395;-1,937;-6,674;-0,228
"dr";-0,933;0,306;4,185;-1,908
"cadastro";12,198;-3,585;-1,817;-0,384
"aceitar";-8,308;1,506;48,587;-20,037
"abordar";-4,491;12,659;3,245;-8,951
"verificação";-10,962;-8,934;-16,984;108,381
"vencedor";7,489;-1,281;-7,567;0,485
"resolver";-0,525;-16,074;95,61;-15,984
"neto";6,142;-0,623;-3,742;-0,014
"membro";-2,276;7,635;7,658;-13,821
"janeiro";-4,444;3,359;11,006;-6,829
"integralmente";43,619;-6,062;-2,244;-10,729
"infundado";-22,771;82,689;-1,902;-8,411
"gabinete";-21,481;6,612;54,55;-18,77
"financiamento";-0,052;12,863;-8,445;-0,624
"financeiro";-0,316;0;-10,035;12,315
"favorável";-12,012;25,672;-2,34;-0,002
"contribuir";-0,139;5,012;-10,605;1,144
"consubstanciar";5,049;0,171;-13,917;0,284
"cabível";11,366;-6,3;-14,834;5,874
"amparar";17,987;-11,719;-9,267;2,831
"sugestão";-27,376;-0,796;150,777;-21,007
"souza";1,352;-4,639;-9,849;14,48
"resguardar";-0,223;-14,002;-16,753;65,245
"referendo";51,763;-5,609;-10,718;-5,739
"publicidade";-0,455;0,608;-2,808;2,121
"propositura";95,474;-18,547;-13,002;-8,408
"irregularidade";-1,649;-3,065;-0,355;13,93
"gomes";-11,145;-17,254;85,237;-0,268
"frança";-24,625;-2,737;158,305;-19,089
"central";0,631;26,314;-11,505;-9,238
"sítio";-9,782;70,658;-8,671;-6,521
"sobretudo";1,718;2,497;-7,706;-0,268
"reunir";19,748;-0,542;-1,775;-8,144
"rejeito";116,882;-25,44;-16,522;-8,144
"recorrer";-0,954;3,685;-2,794;0,373
"preservação";-4,737;-1,945;-8,38;41,31
"pp";-3,102;3,969;14,079;-12,593
"posterior";14,333;-0,16;-2,529;-5,063
"meramente";66,797;-6,989;-11,687;-9,258
"físico";-1,141;2,67;1,237;-2,342
"especializado";-11,581;0,02;46,511;-7,067
"entrar";-27,011;-11,389;217,906;-18,77
"desenvolvimento";2,976;1,37;-2,43;-2,736
"cuidar";-0,156;-1,01;-1,775;7,145
"campbell";19,416;-9,104;-5,669;0,233
"artigo";-0,068;-10,179;-4,13;29,228
"absoluto";16,024;-7,492;-3,269;0,012
"retirar";-7,815;4,345;-1,215;3,597
"qualidade";1,965;10,976;-5,896;-7,35
"plano";-5,627;8,697;-8,859;5,089
"interno";-0,101;0,469;-0,135;-0,001
"exigência";13,215;-5,029;-16,061;4,019
"exclusivamente";-0,101;-4,105;0,302;3,701
"contratar";-0,439;-2,776;2,236;1,141
"comentário";-14,45;87,669;-3,269;-14,746
"cogitar";6,154;-4,067;-6,879;3,116
"apontado";16,004;-7,015;-1,332;-0,327
"virtude";8,427;-10,425;-6,063;5,785
"virtual";-10,22;70,868;-16,522;-2,167
"tratamento";-5,019;-0,293;-8,426;31,68
"texto";-3,589;2,524;-0,003;0,223
"sigiloso";-8,173;0,063;64,07;-19,728
"local";-24,663;19,804;9,513;-3,945
"expressamente";10,059;0,513;-0,598;-12,058
"cobertura";-23,443;140,144;-15,831;-10,729
"auditoria";-25,574;0,839;102,162;-21,646
"weber";-2,318;-12,126;0,927;18,917
"unanimidade";21,273;-4,358;-0,103;-6,6
"tópico";6,989;1,625;-0,598;-12,058
"tentativa";-5,32;1,158;16,286;-5,175
"pronunciamento";-0,009;29,243;-6,674;-9,576
"população";-24,346;30,972;17,798;-17,623
"partidário";3,527;0,914;-8,211;-0,169
"parcialmente";13,839;-8,217;-4,674;0,763
"merecer";0,383;0,054;-3,955;0,809
"justamente";-0,4;0,765;-0,12;0,011
"jogo";-18,241;0,007;0,012;19,76
"interpretação";3,083;-8,773;-1,296;4,712
"estatal";1,752;0,191;-10,831;1,232
"divergência";49,261;-10,425;-3,27;-7,052
"difundir";-21,643;142,175;-14,909;-13,513
"severo";-1,928;5,296;-15,601;7,504
"ricardo";-2,39;4,073;-1,957;0,773
"notadamente";0,072;-2,298;-8,859;15,795
"menção";-12,818;23,436;2,465;-6,315
"impossibilidade";2,232;-1,69;-5,702;3,559
"eventualmente";16,618;-4,067;-3,955;-0,295
"eletivo";-6,253;-19,247;-13,459;111,399
"direcionar";-14,372;45,342;-4,007;-0,953
"ótica";1,123;-5,538;-13,002;20,676
"superveniente";98,561;-15,878;-15,14;-9,863
"repercutir";-0,024;0,958;-7,539;2,762
"regularidade";17,57;-13,381;-6,674;2,427
"preocupação";-0,747;-2,487;5,28;0,216
"pdt";-6,005;0,306;19,412;-3,68
"pagar";-8,57;23,649;-0,275;-1,789
"oferecer";-1,103;16,572;-0,125;-7,382
"nunca";-8,112;-0,061;55,926;-11,983
"noticiar";-9,643;33,615;0,671;-11,068
"ilicitude";4,193;-7,886;-12,544;15,084
"igual";0,636;0,148;-6,469;1,112
"explicar";-4,164;0,054;35,259;-11,758
"episódio";-8,766;22,986;-0,682;-0,915
"desproporcional";-16,943;-7,886;-12,544;111,756
"conhecer";3,321;0,055;2,652;-13,682
"apurado";2,91;-4,524;-0,054;0,295
"anteriormente";8,752;-6,102;-2,489;0,58
"antecipado";-5,563;-2,796;-10,538;52,268
"alcançar";-17,808;104,135;-8,859;-10,151
"procuradoria";16,004;-5,563;-0,25;-2,146
